,Tokyo,Paris,Boulder,Bogota,Sydney
2005-01-01,277.2632512250675,278.00246086409913,266.41022874164685,287.34322073658524,294.7424420390847
2005-02-01,277.6960896402113,275.76880089459155,266.11276365798835,287.73509090667426,295.5404322036297
2005-03-01,280.65649065242945,280.38752521750473,267.7229938114451,288.36742686295435,294.0620129255665
2005-04-01,287.2256596855585,284.10494814921304,272.52518462308177,287.7618093273622,294.1581992400429
2005-05-01,290.0667184187041,287.58724897886793,277.15459631427007,287.50175003266673,291.3171405068973
2005-06-01,295.5707130804093,292.21309821396454,281.99597414291566,286.73404074490134,290.29649683661995
2005-07-01,297.9272777850811,293.13577434171964,287.72262231035324,286.3065460138951,289.2117289566916
2005-08-01,300.2731551214778,291.7303854135367,285.41415076291963,286.24954671642763,288.98016931072993
2005-09-01,297.0366637621515,290.3445899938581,282.624747643104,286.66101039502115,290.0578122784748
2005-10-01,291.4311391018323,288.561580719953,276.0751721184794,287.18112898441206,292.1756924250015
2005-11-01,284.30444569034927,279.20657102309997,267.53952732272165,287.5801240666845,293.0645252198853
2005-12-01,277.0405977193351,276.26041983524874,262.26709230697816,286.97628775913824,295.3142162418055
2006-01-01,276.4456675520181,275.89704931389343,263.8933535128477,286.65388548283767,296.0997378100295
2006-02-01,278.51723576935245,276.1036717672131,263.3714536954109,286.9139447775331,296.78907306377704
2006-03-01,281.675353094661,279.3276945302184,268.5886706417328,286.9549130225879,295.7755543056831
2006-04-01,285.8665826865679,283.5652360513177,273.535140925084,287.270190386705,293.41186468882785
2006-05-01,291.28507840207186,287.738653362766,277.7833698144584,286.8106335508733,290.2501849074276
2006-06-01,294.9971576496426,292.4642513684307,285.118466907307,286.45082548560976,288.8430147511988
2006-07-01,297.78299831336653,297.1257251644445,287.6442482763355,286.19789110309773,288.8501396633822
2006-08-01,299.954315301269,290.5155878862606,285.6029609357807,286.54344934399444,289.5929117585055
2006-09-01,295.9554583383149,292.3110657564868,278.99104242955104,287.029724600514,290.92527033680824
2006-10-01,291.6092619064182,287.7564656432246,273.4745791715248,287.9310259917188,291.2441101570171
2006-11-01,285.9503004047233,282.0511922123373,266.80388013978177,287.37884529750244,292.63346803278733
2006-12-01,280.6600531085212,278.0576789335208,264.02694561628715,287.33787705244765,293.73426696512837
2007-01-01,278.69713980198424,280.29312013107415,262.78008598418563,287.3806265255483,295.4139650123737
2007-02-01,279.92084346948957,281.05548573470196,266.4173536538303,287.85799564183856,295.8111788666003
2007-03-01,282.45553097874733,280.6475845122002,271.0984209583485,287.65315441656475,295.27502922479664
2007-04-01,285.9627690010443,287.6780916092068,273.0470844405186,287.5498431899049,293.3263657426266
2007-05-01,291.7321666415825,288.0824303756168,277.14212771794905,286.95669425063375,292.5782499633657
2007-06-01,295.67758676316083,290.77564718095607,283.65073499751895,286.0482679472455,288.6132363332829
2007-07-01,296.751667274814,291.16751735104515,288.00405634159904,286.46151285388487,287.92924476367295
2007-08-01,301.48260896461625,290.6224615690122,287.42515722669475,286.4401381173346,289.51275649644185
2007-09-01,297.5069079662583,287.6549356446106,282.63899746747086,286.82132091914843,289.8832519299806
2007-10-01,291.0018631427802,284.3293828829913,275.22730756865036,287.0706928455688,291.8301341841048
